	disease	gene	class	score
0	MESH:D001932	29	1	0.7592162489891052
1	MESH:D001932	595	1	0.9135334491729736
2	MESH:D001932	1029	1	0.9242371916770935
3	MESH:D001932	1956	1	0.9397464394569397
4	MESH:D001932	2064	1	0.936282217502594
5	MESH:D001932	4609	1	0.9471809267997742
6	MESH:D001932	6774	1	0.9404075741767883
7	MESH:D001932	7157	1	0.9484865665435791
8	MESH:D001932	7422	1	0.9477186799049377
9	MESH:D007680	595	1	0.9363563656806946
10	MESH:D007680	1029	1	0.9499107003211975
11	MESH:D007680	2064	1	0.9608859419822693
12	MESH:D007680	2475	1	0.9649931192398071
13	MESH:D007680	3313	1	-0.36338382959365845
14	MESH:D007680	3481	1	0.9626988768577576
15	MESH:D007680	3725	1	0.9362576007843018
16	MESH:D007680	3791	1	0.9502707719802856
17	MESH:D007680	3815	1	0.9649844169616699
18	MESH:D007680	4609	1	0.9676647782325745
19	MESH:D007680	5290	1	0.9591104984283447
20	MESH:D007680	5443	1	0.9666301608085632
21	MESH:D007680	5728	1	0.8844459056854248
22	MESH:D007680	6271	1	0.926684558391571
23	MESH:D007680	7157	1	0.9682594537734985
24	MESH:D007680	7422	1	0.9648848176002502
25	MESH:D007680	29126	1	0.9495049118995667
26	MESH:D010190	28	1	0.9611268639564514
27	MESH:D010190	207	1	0.9598742127418518
28	MESH:D010190	348	1	0.933857262134552
29	MESH:D010190	546	1	0.9433383345603943
30	MESH:D010190	595	1	0.9260649681091309
31	MESH:D010190	1029	1	0.940624475479126
32	MESH:D010190	1806	1	0.9542325735092163
33	MESH:D010190	1956	1	0.9527965784072876
34	MESH:D010190	3791	1	0.9492449760437012
35	MESH:D010190	4221	1	0.9571022391319275
36	MESH:D010190	4609	1	0.9624720215797424
37	MESH:D010190	5290	1	0.9578773379325867
38	MESH:D010190	5728	1	0.888292133808136
39	MESH:D010190	5925	1	0.9529284238815308
40	MESH:D010190	6750	1	0.9545414447784424
41	MESH:D010190	6774	1	0.9566633701324463
42	MESH:D010190	7157	1	0.9639429450035095
43	MESH:D010190	7422	1	0.9622179269790649
44	MESH:D012878	434	1	0.968316912651062
45	MESH:D012878	1029	1	0.9709895849227905
46	MESH:D012878	7157	1	0.9959450364112854
47	MESH:D001859	1956	1	0.9796136617660522
48	MESH:D001859	3725	1	0.9557343125343323
49	MESH:D001859	3815	1	0.9871439933776855
50	MESH:D001859	5925	1	0.9801567196846008
51	MESH:D001859	7157	1	0.9901031851768494
52	MESH:D010051	142	1	0.9869948625564575
53	MESH:D010051	207	1	0.9923136830329895
54	MESH:D010051	580	1	0.9864681363105774
55	MESH:D010051	595	1	0.9630048871040344
56	MESH:D010051	672	1	0.97857666015625
57	MESH:D010051	1956	1	0.9894397258758545
58	MESH:D010051	2064	1	0.9889066815376282
59	MESH:D010051	2475	1	0.9952576756477356
60	MESH:D010051	4609	1	0.997963011264801
61	MESH:D010051	5290	1	0.9899610280990601
62	MESH:D010051	5728	1	0.9169085621833801
63	MESH:D010051	6774	1	0.9913634061813354
64	MESH:D010051	7157	1	0.9988664388656616
65	MESH:D010051	7422	1	0.9965532422065735
66	MESH:D010051	8626	1	0.9986804723739624
67	MESH:D010051	8991	1	0.8816030025482178
68	MESH:D001943	10	1	0.9992559552192688
69	MESH:D001943	25	1	0.997033417224884
70	MESH:D001943	90	1	-0.7484551072120667
71	MESH:D001943	142	1	0.9867716431617737
72	MESH:D001943	207	1	0.9924358129501343
73	MESH:D001943	250	1	0.9963354468345642
74	MESH:D001943	367	1	0.9730128645896912
75	MESH:D001943	580	1	0.9866101145744324
76	MESH:D001943	595	1	0.9621030688285828
77	MESH:D001943	672	1	0.978410542011261
78	MESH:D001943	1806	1	0.9898779392242432
79	MESH:D001943	1956	1	0.989553689956665
80	MESH:D001943	2004	1	0.936235785484314
81	MESH:D001943	2064	1	0.9892553687095642
82	MESH:D001943	2353	1	0.97946697473526
83	MESH:D001943	2475	1	0.9955512285232544
84	MESH:D001943	3169	1	0.9938968420028687
85	MESH:D001943	3553	1	0.9886634349822998
86	MESH:D001943	3725	1	0.9637549519538879
87	MESH:D001943	3791	1	0.9797856211662292
88	MESH:D001943	3815	1	0.9954316020011902
89	MESH:D001943	4609	1	0.9983030557632446
90	MESH:D001943	5290	1	0.9902070760726929
91	MESH:D001943	5728	1	0.9172531962394714
92	MESH:D001943	5888	1	0.9910681247711182
93	MESH:D001943	5890	1	0.9919936656951904
94	MESH:D001943	5925	1	0.9870057106018066
95	MESH:D001943	6774	1	0.9916006922721863
96	MESH:D001943	7157	1	0.9990742802619934
97	MESH:D001943	7421	1	0.9990639090538025
98	MESH:D001943	7422	1	0.9967954754829407
99	MESH:D001943	7984	1	0.9975439310073853
100	MESH:D001943	100506658	1	-0.758625864982605
101	MESH:D005910	90	1	-0.7486037611961365
102	MESH:D005910	207	1	0.9928148984909058
103	MESH:D005910	546	1	0.9754323363304138
104	MESH:D005910	941	1	0.926547646522522
105	MESH:D005910	1029	1	0.97554612159729
106	MESH:D005910	1956	1	0.990105926990509
107	MESH:D005910	2064	1	0.9898411631584167
108	MESH:D005910	2833	1	0.9823340177536011
109	MESH:D005910	3553	1	0.9885991215705872
110	MESH:D005910	3791	1	0.9797735214233398
111	MESH:D005910	4609	1	0.9985102415084839
112	MESH:D005910	5290	1	0.9901621341705322
113	MESH:D005910	5728	1	0.91767418384552
114	MESH:D005910	6774	1	0.9915655851364136
115	MESH:D005910	7157	1	0.9993268251419067
116	MESH:D005910	7422	1	0.9971176981925964
117	MESH:D005910	22933	1	0.9951793551445007
118	MESH:D000310	1029	1	0.9742405414581299
119	MESH:D000310	1956	1	0.9884471893310547
120	MESH:D000310	3481	1	0.9916576743125916
121	MESH:D000310	4221	1	0.9910074472427368
122	MESH:D000310	5443	1	0.9960871934890747
123	MESH:D000310	5925	1	0.9862865209579468
124	MESH:D000310	6390	1	0.9979118704795837
125	MESH:D000310	7157	1	0.9980365633964539
126	MESH:D004938	25	1	0.9624304175376892
127	MESH:D004938	60	1	0.9584916234016418
128	MESH:D004938	116	1	0.9331552386283875
129	MESH:D004938	217	1	0.9080573320388794
130	MESH:D004938	595	1	0.9281221032142639
131	MESH:D004938	1029	1	0.9443654417991638
132	MESH:D004938	1956	1	0.956689178943634
133	MESH:D004938	2064	1	0.9549230933189392
134	MESH:D004938	2597	1	0.9035049676895142
135	MESH:D004938	3146	1	0.95365971326828
136	MESH:D004938	3791	1	0.9458471536636353
137	MESH:D004938	4609	1	0.9640964269638062
138	MESH:D004938	5290	1	0.9547186493873596
139	MESH:D004938	5925	1	0.9511517286300659
140	MESH:D004938	6750	1	0.9502202868461609
141	MESH:D004938	7157	1	0.9646578431129456
142	MESH:D011471	9	1	0.9962920546531677
143	MESH:D011471	10	1	0.9994732737541199
144	MESH:D011471	12	1	0.9982866644859314
145	MESH:D011471	28	1	0.9960994124412537
146	MESH:D011471	142	1	0.9867664575576782
147	MESH:D011471	173	1	0.5015852451324463
148	MESH:D011471	207	1	0.99256432056427
149	MESH:D011471	250	1	0.9965090751647949
150	MESH:D011471	354	1	0.9985184073448181
151	MESH:D011471	367	1	0.9725867509841919
152	MESH:D011471	595	1	0.9626887440681458
153	MESH:D011471	672	1	0.9790460467338562
154	MESH:D011471	1956	1	0.9900929927825928
155	MESH:D011471	2012	1	0.8867559432983398
156	MESH:D011471	2014	1	0.9959225058555603
157	MESH:D011471	2064	1	0.989399254322052
158	MESH:D011471	2346	1	0.9464171528816223
159	MESH:D011471	3169	1	0.9940996170043945
160	MESH:D011471	3383	1	0.9954589605331421
161	MESH:D011471	3630	1	0.9778034090995789
162	MESH:D011471	3791	1	0.9796603918075562
163	MESH:D011471	4609	1	0.9984477758407593
164	MESH:D011471	5290	1	0.9899389743804932
165	MESH:D011471	5728	1	0.9183499813079834
166	MESH:D011471	5890	1	0.9919289946556091
167	MESH:D011471	6774	1	0.9917032718658447
168	MESH:D011471	7113	1	0.9946879744529724
169	MESH:D011471	7157	1	0.9992809295654297
170	MESH:D011471	7421	1	0.9992572665214539
171	MESH:D011471	7422	1	0.996971845626831
172	MESH:D011471	7984	1	0.9978359341621399
173	MESH:D011471	25932	1	0.9969136714935303
174	MESH:D013274	70	1	0.9386924505233765
175	MESH:D013274	240	1	0.8504588007926941
176	MESH:D013274	595	1	0.9487138390541077
177	MESH:D013274	627	1	0.9791669249534607
178	MESH:D013274	1000	1	0.9848938584327698
179	MESH:D013274	1029	1	0.9624024629592896
180	MESH:D013274	1806	1	0.9761863946914673
181	MESH:D013274	1956	1	0.9754101037979126
182	MESH:D013274	2064	1	0.9761247038841248
183	MESH:D013274	3553	1	0.9750266075134277
184	MESH:D013274	3725	1	0.9508431553840637
185	MESH:D013274	4609	1	0.9834498763084412
186	MESH:D013274	5290	1	0.9746041297912598
187	MESH:D013274	6774	1	0.9776722192764282
188	MESH:D013274	7056	1	0.9851770401000977
189	MESH:D013274	7157	1	0.9851454496383667
190	MESH:D013274	7422	1	0.9831772446632385
191	MESH:D013274	8991	1	0.8649771213531494
192	MESH:D001749	9	1	0.9588550925254822
193	MESH:D001749	10	1	0.9633769989013672
194	MESH:D001749	595	1	0.927129328250885
195	MESH:D001749	1029	1	0.9410570859909058
196	MESH:D001749	1956	1	0.9560825228691101
197	MESH:D001749	1995	1	0.7298401594161987
198	MESH:D001749	2064	1	0.954892635345459
199	MESH:D001749	4609	1	0.9625514149665833
200	MESH:D001749	5728	1	0.8780392408370972
201	MESH:D001749	5925	1	0.9509797692298889
202	MESH:D001749	7157	1	0.9633283615112305
203	MESH:D001749	8626	1	0.9621776938438416
204	MESH:D006258	10	1	0.9957374930381775
205	MESH:D006258	207	1	0.988800585269928
206	MESH:D006258	595	1	0.9589014053344727
207	MESH:D006258	1806	1	0.9870827794075012
208	MESH:D006258	1956	1	0.9869116544723511
209	MESH:D006258	5290	1	0.9865126609802246
210	MESH:D006258	5728	1	0.9127612709999084
211	MESH:D006258	5888	1	0.9874721169471741
212	MESH:D006258	6774	1	0.9867210388183594
213	MESH:D006258	7157	1	0.9953389763832092
214	MESH:D006258	7422	1	0.9932107925415039
215	MESH:D008545	207	1	0.9926685094833374
