disease	gene	class	score
MESH:D011085	3973	1	0.3986130356788635
MESH:D003924	2695	1	0.39475271105766296
MESH:D005922	27242	1	0.3940057158470154
MESH:D006973	5972	1	0.39353665709495533
MESH:D008105	973	1	0.3933499753475189
MESH:D010195	6750	1	0.3917155563831329
MESH:D010195	5644	1	0.39088132977485657
MESH:D006973	4878	1	0.3907248973846436
MESH:D010024	5741	1	0.3905485272407532
MESH:D009103	3106	1	0.3898577690124512
MESH:D003924	3479	1	0.3897663056850433
MESH:D002446	973	1	0.3896750509738922
MESH:D006973	183	1	0.3890044689178467
MESH:D006111	8718	1	0.3889957964420319
MESH:D005910	2670	1	0.3880978524684906
MESH:D015535	3106	1	0.3878667950630188
MESH:D003924	348	1	0.3866240382194519
MESH:D001172	1401	1	0.3865913152694702
MESH:D010190	885	1	0.38449588418006897
MESH:D001714	6531	1	0.3842501044273377
MESH:D008180	973	1	0.3817521631717682
MESH:D005922	2589	1	0.3803996443748474
MESH:D001943	1950	1	0.37965384125709534
MESH:D008180	6737	1	0.37961986660957336
MESH:D008180	712	1	0.3788266181945801
MESH:D003866	2289	1	0.377731591463089
MESH:D006111	3106	1	0.376746267080307
MESH:D003866	2192	0	0.37593719363212585
MESH:D007680	2064	1	0.3758801519870758
MESH:D006973	1636	1	0.374701738357544
MESH:D009103	4155	1	0.3744019567966461
MESH:D001943	174	1	0.3744012117385864
MESH:D010190	3375	1	0.3733812868595123
MESH:D019337	5925	1	0.3729990720748901
MESH:D001172	56246	1	0.3712280988693237
MESH:D001172	973	1	0.37119412422180176
MESH:D005922	23530	1	0.37085092067718506
MESH:D007676	2056	1	0.3685252964496613
MESH:D019337	596	1	0.3675259053707123
MESH:D010190	6690	1	0.3671350479125977
MESH:D000310	5443	1	0.36705243587493896
MESH:D015433	973	1	0.3668486475944519
MESH:D005922	79157	1	0.36656308174133295
MESH:D009103	6531	0	0.3643220961093903
MESH:D007037	7200	1	0.3634631037712097
MESH:D019337	5979	1	0.3632530868053436
MESH:D008545	1956	1	0.3630806803703308
MESH:D003110	1956	1	0.3624592125415802
MESH:D011085	3484	1	0.3618327081203461
MESH:D001321	2033	0	0.36156702041625977
MESH:D019337	1440	1	0.36143985390663147
MESH:D003110	5243	1	0.3613125681877136
MESH:D008180	3558	1	0.3605274260044098
MESH:D003866	6910	0	0.3604662418365479
MESH:D005922	4072	0	0.35951024293899536
MESH:D005922	2956	1	0.3593535423278809
MESH:D003866	3699	1	0.3593166172504425
MESH:D005922	2146	1	0.3592128753662109
MESH:D001289	11128	1	0.3591194748878479
MESH:D001943	367	1	0.3588254451751709
MESH:D010195	5967	1	0.358605295419693
MESH:D008180	3439	1	0.35813307762146
MESH:D005922	4085	1	0.3576534390449524
MESH:D003110	3845	1	0.3568907380104065
MESH:D007680	1956	0	0.3562804460525513
MESH:D007889	5241	1	0.35483336448669434
MESH:D005922	973	1	0.3538680672645569
MESH:D011085	9219	0	0.3537878692150116
MESH:D009103	3126	1	0.3531889617443085
MESH:D005922	1285	0	0.3518041670322418
MESH:D011471	367	1	0.351587176322937
MESH:D009765	2688	1	0.35093334317207336
MESH:D003876	973	1	0.3509100079536438
MESH:D005922	4481	1	0.34975752234458923
MESH:D007676	5741	1	0.34917163848876953
MESH:D007680	2026	0	0.34858784079551697
MESH:D010190	1113	1	0.3484661281108856
MESH:D005922	51151	0	0.348256915807724
MESH:D005922	8795	0	0.34821757674217224
MESH:D007918	3106	0	0.3478064835071564
MESH:D010195	3630	1	0.3476561009883881
MESH:D005922	55872	1	0.3472802042961121
MESH:D001172	3458	1	0.3470562398433685
MESH:D007680	5243	1	0.3470490872859955
MESH:D007037	5617	1	0.3467646837234497
MESH:D012559	2033	1	0.34673628211021423
MESH:D001172	3569	1	0.34576064348220825
MESH:D009765	2695	1	0.3456779420375824
MESH:D010024	796	1	0.34496623277664185
MESH:D005922	6687	1	0.34489530324935913
MESH:D010195	6690	1	0.34485381841659546
MESH:D001172	3558	1	0.3442946970462799
MESH:D005922	8038	1	0.34322139620780945
MESH:D005922	4591	1	0.3431560695171356
MESH:D005922	10461	1	0.34256935119628906
MESH:D005922	3397	0	0.3422668278217316
MESH:D053040	259	1	0.3422258794307709
MESH:D001172	3552	1	0.3416097164154053
MESH:D001749	2064	1	0.34122517704963684
MESH:D005922	1063	1	0.3407540619373321
MESH:D005922	7805	1	0.3404185175895691
MESH:D010190	4221	1	0.34007853269577026
MESH:D002311	6901	1	0.33951976895332336
MESH:D000310	4221	1	0.3393648564815521
MESH:D008577	5241	1	0.3381464779376984
MESH:D019337	4763	1	0.33763596415519714
MESH:D001943	5243	1	0.33727142214775085
MESH:D001943	7039	0	0.33682745695114136
MESH:D005922	8869	1	0.3367093503475189
MESH:D005922	5552	1	0.33659040927886963
MESH:D000163	920	1	0.3364805579185486
MESH:D004938	1956	1	0.3354135751724243
MESH:D050197	3949	1	0.33520272374153137
MESH:D007562	5621	1	0.3351132571697235
MESH:D001932	2026	1	0.3350487649440765
MESH:D003866	3090	0	0.33497488498687744
MESH:D008479	146059	0	0.3347697556018829
MESH:D014820	7001	0	0.3345983922481537
MESH:D011471	2796	1	0.3340122699737549
MESH:D050197	348	1	0.3336677849292755
MESH:D005922	22924	0	0.3333950638771057
MESH:D009765	4023	1	0.333221048116684
MESH:D003924	4018	1	0.333187073469162
MESH:D001289	2033	1	0.3330943286418915
MESH:D000740	3039	1	0.3328525125980377
MESH:D015433	4036	1	0.3327721953392029
MESH:D003110	3265	1	0.3323374688625336
MESH:D008545	3456	1	0.3321215808391571
MESH:D008180	1401	1	0.3317879140377045
MESH:D003922	3479	1	0.33174988627433777
MESH:D011471	1956	1	0.3317168056964874
MESH:D005922	951	1	0.3315165042877197
MESH:D005922	10630	0	0.33130285143852234
MESH:D012559	5617	1	0.3309458494186401
MESH:D007680	3845	1	0.3308297097682953
MESH:D008545	2064	1	0.3303591012954712
MESH:D008180	3458	1	0.330333024263382
MESH:D005134	5925	1	0.32994720339775085
MESH:D010051	7038	1	0.3294716775417328
MESH:D009080	1401	1	0.3290910124778748
MESH:D006973	551	1	0.3288522362709045
MESH:D005910	1956	1	0.3287070691585541
MESH:D002311	4878	1	0.3284755051136017
MESH:D008545	3440	1	0.32815784215927124
MESH:D005922	11196	1	0.3281227946281433
MESH:D000544	4137	1	0.32811665534973145
MESH:D001932	2670	1	0.3280999064445496
MESH:D013167	1401	1	0.3279652297496796
MESH:D008545	5243	1	0.3277701139450073
MESH:D005922	55850	0	0.327712744474411
MESH:D010051	1956	1	0.3276540040969849
MESH:D050197	338	1	0.3272719085216522
MESH:D001943	961	0	0.3269639909267425
MESH:D019337	5243	1	0.3269505202770233
MESH:D001172	8718	1	0.32677537202835083
MESH:D001172	718	1	0.32656851410865784
MESH:D014820	1493	1	0.32653263211250305
MESH:D005922	5284	1	0.3261900246143341
MESH:D005922	2553	1	0.3258653879165649
MESH:D005922	7456	1	0.32585012912750244
MESH:D005923	973	1	0.32554563879966736
MESH:D007889	2099	1	0.325309693813324
MESH:D011085	3479	1	0.3250161707401276
MESH:D002446	3938	1	0.3249714970588684
MESH:D003922	56246	0	0.3249426484107971
MESH:D019337	3439	1	0.3246647119522095
MESH:D019337	4609	1	0.3242469429969788
MESH:D003866	6653	0	0.32344359159469604
MESH:D019337	1791	1	0.32342329621315
MESH:D005922	5087	0	0.32310807704925537
MESH:D010190	5644	1	0.3225436210632324
MESH:D008180	3569	1	0.32229116559028625
MESH:D012595	1636	1	0.3218503296375275
MESH:D005922	9536	0	0.32170987129211426
MESH:D010190	2641	1	0.3209100663661957
MESH:D019337	4613	0	0.3206532597541809
MESH:D015535	1401	1	0.3204403221607208
MESH:D015535	3458	0	0.3201943039894104
MESH:D015535	3458	0	0.3201943039894104
MESH:D010195	2641	1	0.31960660219192505
MESH:D015535	56246	1	0.3193534314632416
MESH:D005922	6880	1	0.3188676834106445
MESH:D003093	973	1	0.31878674030303955
MESH:D010051	5243	1	0.3185549080371857
MESH:D003110	4893	1	0.3185200393199921
MESH:D015209	8718	1	0.3185117542743683
MESH:D007680	4609	1	0.3183615505695343
MESH:D011471	9520	0	0.3181633353233337
MESH:D009765	5539	1	0.31777918338775635
MESH:D005922	8741	1	0.3176508247852325
MESH:D005922	10184	1	0.3176136910915375
MESH:D003924	3106	0	0.31759488582611084
MESH:D005922	5594	1	0.31747135519981384
MESH:D004938	2064	1	0.3174601495265961
MESH:D005922	4125	1	0.31709855794906616
MESH:D005922	2632	1	0.3169616758823395
MESH:D005922	10550	1	0.3168121576309204
MESH:D005922	1592	0	0.3166545927524567
MESH:D001943	2026	0	0.3164738416671753
MESH:D003924	4023	1	0.3163817524909973
MESH:D008545	1950	1	0.3163005113601685
MESH:D008545	7299	1	0.3155384063720703
MESH:D011471	2064	1	0.31534188985824585
MESH:D000544	2670	1	0.3153206706047058
MESH:D003866	5742	0	0.31521570682525635
MESH:D000544	4155	0	0.3151872754096985
MESH:D011471	1950	1	0.3151465058326721
MESH:D005922	6170	0	0.3146735429763794
MESH:D003110	7157	1	0.3144216239452362
MESH:D003866	653361	0	0.31429731845855713
MESH:D001321	4763	1	0.3138786554336548
MESH:D006509	3046	1	0.3138599097728729
MESH:D005922	7490	0	0.313797265291214
MESH:D001943	6462	1	0.3137806355953217
MESH:D005922	27232	0	0.3137058317661285
MESH:D008180	1378	1	0.31360384821891785
MESH:D001943	4609	1	0.3129143714904785
MESH:D011085	5241	1	0.31283074617385864
MESH:D003110	7039	0	0.3120768964290619
MESH:D005922	6540	0	0.3114185333251953
MESH:D011471	6462	1	0.31003537774086
MESH:D053040	5741	1	0.3100084662437439
MESH:D009765	3479	1	0.309449702501297
MESH:D005922	2799	1	0.30895084142684937
MESH:D003924	3481	1	0.3083871006965637
MESH:D004827	2033	0	0.3079991936683655
MESH:D008577	2064	1	0.3078706860542297
MESH:D009765	2691	1	0.3077788054943085
MESH:D007676	1636	1	0.30739495158195496
MESH:D010195	5319	1	0.3073282241821289
MESH:D003731	6597	1	0.30683687329292303
MESH:D009765	3990	1	0.3065905570983887
MESH:D010190	5744	1	0.3065490126609802
MESH:D001943	5617	1	0.3065316081047058
MESH:D012148	4973	0	0.3065180778503418
MESH:D007037	7253	1	0.3064524233341217
MESH:D005910	2247	1	0.3061008453369141
MESH:D005922	836	0	0.305898517370224
MESH:D019337	4893	1	0.3054949939250946
MESH:D003924	335	1	0.30546873807907104
MESH:D004938	4609	1	0.30484360456466675
MESH:D001943	5618	1	0.30473634600639343
MESH:D005922	4688	1	0.3045476973056793
MESH:D050197	3990	1	0.3039973676204681
MESH:D019337	3558	1	0.30396243929862976
MESH:D050197	2006	1	0.3039076626300812
MESH:D005922	9824	1	0.30382153391838074
MESH:D007676	632	1	0.30371031165122986
MESH:D029424	1636	1	0.30366250872612
MESH:D001749	1956	1	0.3032706081867218
MESH:D015535	567	0	0.302976667881012
MESH:D001932	4613	1	0.3027455806732178
MESH:D003924	338	1	0.3026887774467468
MESH:D019337	7157	1	0.3022487461566925
MESH:D001714	5617	0	0.3013482093811035
MESH:D005922	9133	1	0.3010639548301697
MESH:D008545	3458	1	0.30103981494903564
MESH:D000740	2539	1	0.30102446675300604
MESH:D007037	3479	1	0.30098000168800354
MESH:D003924	3990	1	0.3009272515773773
MESH:D019337	3440	1	0.30080491304397583
MESH:D005134	4613	1	0.30078622698783875
MESH:D001172	3559	1	0.3001968860626221
MESH:D007037	6462	1	0.30011168122291565
MESH:D008545	3439	1	0.3000043630599976
MESH:D008113	1543	1	0.2998308539390564
MESH:D000163	925	1	0.2996249198913574
MESH:D005922	1234	1	0.2995916306972504
MESH:D005922	10492	1	0.29958778619766235
MESH:D009765	3949	0	0.2993922829627991
MESH:D005922	2242	0	0.29936957359313965
MESH:D008545	5925	1	0.2992784678936005
MESH:D019337	3106	1	0.2992643713951111
MESH:D001172	3553	1	0.29868075251579285
MESH:D010190	1950	1	0.2985267639160156
MESH:D003110	4609	1	0.2983553409576416
MESH:D010051	2064	1	0.29819655418396
MESH:D014820	6507	0	0.2980685532093048
MESH:D015535	3569	0	0.29769805073738104
MESH:D009765	5617	1	0.29746538400650024
MESH:D008545	7040	0	0.29709431529045105
MESH:D012595	973	0	0.2970877885818481
MESH:D005922	9562	1	0.2970691919326782
MESH:D009765	348	1	0.2970523834228516
MESH:D007680	5744	0	0.29703542590141296
MESH:D019337	4602	1	0.29698753356933594
MESH:D011471	632	1	0.29697614908218384
MESH:D009373	1381	1	0.2966796159744263
MESH:D008180	925	1	0.2965710163116455
MESH:D014820	10766	1	0.29616498947143555
MESH:D008105	3375	0	0.2958521246910095
MESH:D001943	3479	1	0.2956404685974121
MESH:D003110	7298	1	0.2956001162528992
MESH:D005922	3575	0	0.29552337527275085
MESH:D019337	4311	1	0.2953265309333801
MESH:D005922	4973	1	0.29531538486480713
MESH:D009290	3119	1	0.2950372397899628
MESH:D011085	367	1	0.29500165581703186
MESH:D005910	2064	1	0.2949158549308777
MESH:D050197	3931	1	0.2947626709938049
MESH:D005922	3903	1	0.2947438061237335
MESH:D001943	796	1	0.29458287358284
MESH:D005922	1832	1	0.2943871319293976
MESH:D008545	3558	1	0.2942667305469513
MESH:D006111	3458	1	0.2942641079425812
MESH:D019337	943	1	0.29422834515571594
MESH:D005922	3590	1	0.2939963340759277
MESH:D019337	2064	0	0.2936522364616394
MESH:D019337	2064	0	0.2936522364616394
MESH:D019337	2064	0	0.2936522364616394
MESH:D003922	567	1	0.2933325469493866
MESH:D001943	7040	1	0.2930099666118622
MESH:D001749	2099	1	0.2928870022296905
MESH:D008545	5328	0	0.2926437556743622
MESH:D008545	5328	0	0.2926437556743622
MESH:D050197	335	1	0.29241105914115906
MESH:D012878	3265	1	0.2923526167869568
MESH:D003110	5925	0	0.29175135493278503
MESH:D008180	3559	1	0.29135215282440186
MESH:D005922	9027	0	0.29108819365501404
MESH:D005922	10342	1	0.29107266664505005
MESH:D004938	354	0	0.2910645306110382
MESH:D010001	5371	1	0.29102975130081177
MESH:D007037	632	1	0.2899636030197144
MESH:D005910	3440	1	0.2897253632545471
MESH:D006973	3039	1	0.2896901071071625
MESH:D005922	7099	1	0.2891873121261597
MESH:D003922	3119	1	0.2891732454299927
MESH:D001172	7124	1	0.2891034185886383
MESH:D000310	4613	1	0.2890061438083649
MESH:D009765	3643	0	0.2890028655529022
MESH:D008113	2064	0	0.28842833638191223
MESH:D008545	2247	1	0.2882841229438782
MESH:D001943	632	1	0.28797662258148193
MESH:D003424	973	1	0.2878220975399017
MESH:D011471	5243	0	0.2876660823822021
MESH:D008545	4609	1	0.2874068915843964
MESH:D011471	796	1	0.2873247563838959
MESH:D005922	5277	1	0.2873128056526184
MESH:D000690	5868	1	0.2865855395793915
MESH:D016640	6462	1	0.2865577936172485
MESH:D019337	3458	1	0.28647854924201965
MESH:D014820	1656	1	0.28619885444641113
MESH:D013167	3105	1	0.2858542203903198
MESH:D009103	3558	1	0.2858119606971741
MESH:D000690	4298	0	0.2855207622051239
MESH:D050197	4023	1	0.2854079604148865
MESH:D005922	8450	1	0.2853497564792633
MESH:D011471	5744	1	0.28499287366867065
MESH:D005922	1111	1	0.28488680720329285
MESH:D005910	5747	1	0.28465279936790466
MESH:D005922	1767	0	0.2845610678195953
MESH:D015535	7124	1	0.2841668725013733
MESH:D005922	6514	0	0.2840736210346222
MESH:D005922	6514	0	0.2840736210346222
MESH:D001943	5744	1	0.2833868265151977
MESH:D019337	846	0	0.28310447931289673
MESH:D010190	1956	1	0.28306126594543457
MESH:D005922	2191	1	0.28299015760421753
MESH:D005922	9055	1	0.2825047075748444
MESH:D012468	4582	0	0.2824840545654297
MESH:D001749	5241	0	0.2824479043483734
MESH:D001172	3565	1	0.28232768177986145
MESH:D019337	2056	1	0.28232479095458984
MESH:D005706	2064	1	0.2823225259780884
MESH:D001249	1636	1	0.2822908163070679
MESH:D013274	2064	1	0.2822226285934448
MESH:D003866	2876	0	0.2821079194545746
MESH:D005923	81	1	0.28199151158332825
MESH:D000740	3048	1	0.28179773688316345
MESH:D005922	2286	0	0.2816421389579773
MESH:D006973	8991	1	0.28140825033187866
MESH:D008180	7124	1	0.2811553776264191
MESH:D008288	114609	1	0.2810196578502655
MESH:D006111	3559	1	0.28093695640563965
MESH:D005922	6507	1	0.2808683812618256
MESH:D016584	1392	1	0.28052645921707153
MESH:D008105	5371	0	0.28048691153526306
MESH:D005922	10434	1	0.2804177403450012
MESH:D001172	2335	1	0.2804010510444641
MESH:D001249	9768	1	0.28030651807785034
MESH:D008545	2026	0	0.2802740633487701
MESH:D005922	5504	1	0.28024786710739136
MESH:D008545	7124	1	0.2794604599475861
MESH:D005706	1956	1	0.2791934013366699
MESH:D005922	1536	1	0.2790408730506897
MESH:D007680	5241	0	0.2790003716945648
MESH:D001172	925	1	0.27872616052627563
MESH:D008545	1464	1	0.27861863374710083
MESH:D014594	5241	1	0.2782996892929077
MESH:D008180	721	1	0.27822190523147583
MESH:D005922	2359	1	0.2779749035835266
MESH:D000740	7018	1	0.2778994143009186
MESH:D001932	1956	1	0.2776683568954468
MESH:D005922	4318	1	0.277472585439682
MESH:D019337	7124	1	0.2774292230606079
MESH:D006111	925	1	0.2773214876651764
MESH:D000163	3558	1	0.2773185670375824
MESH:D001943	3875	1	0.27618932723999023
MESH:D001943	5925	1	0.2757675349712372
MESH:D008577	5617	0	0.27566906809806824
MESH:D005922	5530	0	0.2755118310451508
MESH:D005923	59	1	0.2755105495452881
MESH:D003924	183	1	0.27517300844192505
MESH:D001172	6288	1	0.2745903730392456
MESH:D005922	3014	0	0.2743303775787353
MESH:D019955	11128	1	0.2741501927375793
MESH:D001172	1437	1	0.27395057678222656
MESH:D007822	27086	0	0.27378639578819275
MESH:D010051	4609	1	0.27374398708343506
MESH:D007680	1978	1	0.2737032771110535
MESH:D011471	7421	1	0.27370187640190125
MESH:D008288	6521	1	0.2735326886177063
MESH:D001943	7421	1	0.2734971940517425
MESH:D014820	941	1	0.27339377999305725
MESH:D005922	137735	0	0.27336439490318304
MESH:D003110	2247	0	0.2731991708278656
MESH:D011085	1113	0	0.2731976807117462
MESH:D005922	7525	1	0.27319660782814026
MESH:D001172	632	1	0.2730529308319092
MESH:D010524	2026	1	0.2729531526565552
MESH:D008545	2919	1	0.27276647090911865
MESH:D009765	6462	1	0.2726673185825348
MESH:D005922	2182	0	0.2724266648292541
MESH:D013274	4609	1	0.2723130285739899
MESH:D050197	5327	1	0.2722596526145935
MESH:D005922	5743	0	0.2721912860870361
MESH:D005922	5743	0	0.2721912860870361
MESH:D001172	7076	1	0.2719422578811645
MESH:D001749	4609	1	0.2718436121940613
MESH:D005922	4288	1	0.27175137400627136
MESH:D007037	7173	1	0.2716571092605591
MESH:D005922	5728	1	0.2713748812675476
MESH:D006509	3439	1	0.2713303864002228
MESH:D011471	3479	1	0.2712242603302002
MESH:D007676	1392	1	0.2710806131362915
MESH:D008180	3565	1	0.27089351415634155
MESH:D011471	7039	1	0.27083560824394226
MESH:D010051	7980	1	0.2708191275596619
MESH:D005922	5917	1	0.2707546353340149
MESH:D005922	10857	1	0.2706032395362854
MESH:D005706	3845	1	0.2705229520797729
MESH:D005922	5627	1	0.2705056965351105
MESH:D001321	169792	0	0.2703504264354706
MESH:D008180	1636	1	0.27007606625556946
MESH:D011085	3630	1	0.270014226436615
MESH:D008545	5241	0	0.26988598704338074
MESH:D010051	5327	0	0.2698233425617218
MESH:D000544	7276	1	0.269735723733902
MESH:D003731	9337	1	0.2695051729679108
MESH:D005922	1879	0	0.26943472027778625
MESH:D005922	5307	0	0.2693966627120972
MESH:D013167	973	1	0.26939380168914795
MESH:D007680	3566	1	0.2693694233894348
MESH:D010195	9622	1	0.2693464756011963
MESH:D005922	3459	1	0.2689925730228424
MESH:D000163	3106	1	0.2688018381595612
MESH:D010024	6462	1	0.26878419518470764
MESH:D000310	5972	1	0.2687043249607086
MESH:D003924	1636	1	0.2686407566070557
MESH:D000544	4129	1	0.26862210035324097
MESH:D000163	3458	1	0.2684053480625153
MESH:D001943	7037	1	0.26830604672431946
MESH:D001943	2908	0	0.2680437862873077
MESH:D019337	1437	1	0.2680113911628723
MESH:D003922	973	1	0.2678927481174469
MESH:D000163	3439	1	0.2678195834159851
MESH:D019337	3562	1	0.2677484452724457
MESH:D003924	3375	1	0.2677064836025238
MESH:D008180	718	1	0.2676254212856293
MESH:D012148	5443	1	0.2675690650939941
MESH:D010190	3481	0	0.2672230303287506
MESH:D009373	7157	1	0.2672096788883209
MESH:D000544	1471	1	0.2671942710876465
MESH:D009373	2526	1	0.26713234186172485
MESH:D005922	7473	0	0.2670838236808777
MESH:D005134	2064	0	0.26701873540878296
MESH:D001172	1471	0	0.26680538058280945
MESH:D005922	6869	0	0.26675468683242803
MESH:D008180	5054	0	0.2666680812835693
MESH:D001932	2064	1	0.2664361596107483
MESH:D005922	1033	1	0.2663238048553467
MESH:D005922	2081	0	0.26631781458854675
MESH:D008545	3265	1	0.2662422060966492
MESH:D005922	23225	0	0.26621797680854803
MESH:D003093	3558	1	0.26602739095687866
MESH:D050197	7450	1	0.2657771408557892
MESH:D011471	7040	1	0.2657720446586609
MESH:D005922	2904	0	0.2655799090862274
MESH:D012878	3845	1	0.2652928829193115
MESH:D009765	6531	0	0.2652400135993957
MESH:D005922	4771	0	0.2650176584720612
MESH:D003424	1401	1	0.2648119330406189
MESH:D010524	6855	1	0.2647174000740051
MESH:D001471	2520	1	0.2646429240703583
MESH:D000740	3040	1	0.264543890953064
MESH:D005922	8540	1	0.2645192742347717
MESH:D000740	1401	1	0.2644923031330109
MESH:D009290	7200	1	0.2643360495567322
MESH:D010001	632	1	0.2641988694667816
MESH:D011471	1113	1	0.26370474696159363
MESH:D005922	7538	0	0.2636989653110504
MESH:D003922	3105	1	0.2636254727840424
MESH:D005922	80896	1	0.2636096477508545
MESH:D004827	590	1	0.2635254263877869
MESH:D012468	596	0	0.2634621858596802
MESH:D012468	596	0	0.2634621858596802
MESH:D009765	8991	0	0.2633970081806183
MESH:D008545	7157	1	0.2633926868438721
MESH:D005922	1237	0	0.2630878984928131
MESH:D007037	5443	1	0.2630571126937866
MESH:D013274	1956	1	0.2629067599773407
MESH:D005922	5660	1	0.26265227794647217
MESH:D003922	3481	1	0.2626459002494812
MESH:D009765	885	1	0.2624611854553223
MESH:D009765	335	1	0.2624030411243439
MESH:D000740	1440	1	0.26238155364990234
MESH:D003924	551	1	0.2621753811836243
MESH:D000740	3046	1	0.26206472516059875
MESH:D003924	6462	1	0.2620498836040497
MESH:D005922	8754	1	0.26172319054603577
MESH:D019337	27087	1	0.2613909542560577
MESH:D014820	2263	0	0.2611988186836243
MESH:D007680	6271	1	0.26113027334213257
MESH:D008113	3845	1	0.2611075043678284
MESH:D014594	2099	1	0.26092034578323364
MESH:D005910	4099	0	0.2608244717121124
MESH:D005910	4609	1	0.2606110274791717
MESH:D005922	4542	1	0.2605392336845398
MESH:D004938	5243	1	0.2604483366012573
MESH:D003876	6037	1	0.25990816950798035
MESH:D007680	4610	0	0.2598192095756531
MESH:D007680	4311	1	0.2597936689853668
MESH:D014820	2952	1	0.25961250066757197
MESH:D029424	5265	1	0.2596029043197632
MESH:D001943	7018	0	0.2595677375793457
MESH:D000740	3240	1	0.2594754695892334
MESH:D001943	3265	1	0.25910481810569763
MESH:D014820	27086	1	0.25908082723617554
MESH:D005910	3566	0	0.2590635418891907
MESH:D009103	3458	1	0.2588709890842438
MESH:D000310	3481	1	0.2588376104831696
MESH:D003866	3586	1	0.2588149607181549
MESH:D007680	7157	1	0.258809506893158
MESH:D017545	59	1	0.2587011456489563
MESH:D008545	3082	1	0.2586912214756012
MESH:D001172	3567	0	0.2586619257926941
MESH:D005134	3265	1	0.2582991421222687
MESH:D001943	3558	1	0.2578783631324768
MESH:D010190	4609	1	0.2578427493572235
MESH:D008105	26503	0	0.2577432692050934
MESH:D008180	629	1	0.2574914991855621
MESH:D008113	4609	1	0.25735771656036377
MESH:D003922	3375	1	0.2573480904102325
MESH:D011085	3972	1	0.2573162019252777
MESH:D001172	4282	1	0.25713950395584106
MESH:D000544	5621	1	0.2570871412754059
MESH:D003866	5290	0	0.2569820582866669
MESH:D054990	2335	1	0.2567068636417389
MESH:D005922	10988	1	0.2565818130970001
MESH:D004827	5617	0	0.2563752233982086
MESH:D001172	4353	1	0.2563405334949493
MESH:D001471	27086	1	0.2562010288238525
MESH:D005922	29957	1	0.25586029887199396
MESH:D005922	7841	0	0.25579696893692017
MESH:D001943	7157	1	0.2557622492313385
MESH:D001943	1649	1	0.25572293996810913
MESH:D009765	338	1	0.2556695342063904
MESH:D003922	6750	1	0.25552040338516235
MESH:D005922	55010	1	0.2553465068340301
MESH:D005922	6696	0	0.2550738453865051
MESH:D005922	6696	0	0.2550738453865051
MESH:D008545	3383	1	0.2550722658634186
MESH:D010051	3623	1	0.2550542652606964
MESH:D010024	3479	1	0.2549411952495575
MESH:D010195	5265	1	0.2549384832382202
MESH:D005922	3133	0	0.2548508942127228
