disease	gene	class	score
MESH:D013167	3106	1	0.6227588653564453
MESH:D006111	7038	1	0.558829128742218
MESH:D003924	3630	1	0.5557114481925964
MESH:D010195	5539	1	0.5439348220825195
MESH:D006111	7253	1	0.5377400517463684
MESH:D001943	2099	1	0.5204612612724304
MESH:D001943	5241	1	0.5167387127876282
MESH:D013167	56246	1	0.512921929359436
MESH:D003922	3630	1	0.507463812828064
MESH:D010195	6343	1	0.5053987503051758
MESH:D008105	1737	1	0.5040681362152101
MESH:D001172	3106	1	0.4941562414169312
MESH:D011471	354	1	0.4883194267749786
MESH:D001528	3106	1	0.4867454171180725
MESH:D010051	94025	1	0.4864070415496826
MESH:D011085	5617	1	0.4815036356449127
MESH:D003866	2625	1	0.4723065793514252
MESH:D003924	3039	1	0.4710965752601624
MESH:D011085	2796	1	0.4709382355213165
MESH:D000740	2056	1	0.4688673615455627
MESH:D010190	5539	1	0.4678021967411041
MESH:D008180	3106	0	0.4614211618900299
MESH:D012559	6531	1	0.4611679911613464
MESH:D010024	632	1	0.4578118324279785
MESH:D017545	6899	0	0.4570289850234986
MESH:D006111	6906	1	0.4497485160827637
MESH:D011085	6462	1	0.4480064213275909
MESH:D010051	2099	1	0.4433426856994629
MESH:D009765	3630	1	0.4403753280639648
MESH:D007037	6906	1	0.44000688195228577
MESH:D001528	64061	0	0.43862050771713257
MESH:D010195	885	1	0.4353637397289276
MESH:D003922	3039	1	0.4345675408840179
MESH:D001289	6531	1	0.4316195547580719
MESH:D010190	2520	1	0.43101823329925537
MESH:D003866	23269	0	0.4288099706172943
MESH:D011471	2099	1	0.4266270697116852
MESH:D007918	4298	1	0.4261844158172608
MESH:D001943	1956	1	0.4231883883476257
MESH:D009290	3106	0	0.4218282401561737
MESH:D003922	8718	1	0.4214769601821899
MESH:D011085	6822	1	0.4210522472858429
MESH:D002446	8718	1	0.4207984507083893
MESH:D010051	5241	1	0.4204335510730744
MESH:D003866	7297	0	0.4184941649436951
MESH:D003876	3106	0	0.4171760976314545
MESH:D003922	3106	1	0.4165796339511871
MESH:D005879	6531	1	0.4146795272827149
MESH:D010190	6750	1	0.4106779396533966
MESH:D001943	2064	1	0.4101191461086273
MESH:D010190	6343	1	0.4092079102993012
MESH:D050197	4018	1	0.4060665667057037
MESH:D010300	6531	1	0.40578076243400574
MESH:D005922	10197	1	0.4047859311103821
MESH:D011085	5443	1	0.40304863452911377
MESH:D013274	2520	1	0.4023579359054565
MESH:D004938	6317	1	0.4013737440109253
MESH:D007037	7038	1	0.4003864526748657
MESH:D003924	3643	1	0.3997741937637329
MESH:D010195	5406	1	0.3991478979587555
MESH:D008180	8718	1	0.3989547491073608
MESH:D011085	93659	1	0.398803174495697
MESH:D003866	10163	1	0.3987089395523071
